playlist_position,digiturk_number,wanted_name,resolved_id,resolution,status,source,source_detail,health_status,health_detail,health_url,candidate_count,quality,label,stream_title,block_reason,official_page
49,75,HT Spor,HTSporTV.tr,name,added_iptv_org_healthy,iptv-org,HTSporTV.tr,pass,master_ok->hls_segment_ok:http_206,https://ciner.daioncdn.net/ht-spor/ht-spor.m3u8?app=web,1,1080p,,HTSpor TV,,
50,76,FB TV,FBTV.tr,id,added_iptv_org_healthy,iptv-org,FBTV.tr,pass,hls_mime_reachable:application/vnd.apple.mpegurl,http://1hskrdto.rocketcdn.com/fenerbahcetv.smil/playlist.m3u8,1,,,FB TV,,
51,85,beIN Sports Haber,beINSportsHaber.tr,id,no_public_stream_no_fallback,,,not_tested_no_candidate,resolver:https://beinsports.com.tr/canli-yayin:youtube:https://www.youtube.com/watch?v=i7UpPgxfZZ8:yt_dlp_failed:ERROR: [youtube] i7UpPgxfZZ8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https || https://beinsports.com.tr/canli-yayin:page:yt_dlp_failed:ERROR: [youtube] i7UpPgxfZZ8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https,,0,,,,,https://beinsports.com.tr/canli-yayin
52,86,TRT Spor,TRTSpor.tr,id,added_iptv_org_healthy,iptv-org,TRTSpor.tr,pass,master_ok->hls_segment_ok:http_200,https://corestream.siteyaptim.live/trt-spor/index.m3u8,1,720p,,TRT Spor,,
53,87,TRT Spor Yıldız,TRTSporYildiz.tr,id,added_iptv_org_unverified,iptv-org,TRTSporYildiz.tr,unverified_fail_open,master_variants_failed:segments_failed:http_403|http_403|segments_failed:http_403|http_403|segments_failed:http_403|http_403,https://trt.daioncdn.net/trtspor-yildiz/master.m3u8?app=web&platform=trtspor,1,1440p,Geo-blocked,TRT Spor Yildiz,,
54,88,A Spor,ASpor.tr,id,added_iptv_org_healthy,iptv-org,ASpor.tr,pass,master_ok->hls_segment_ok:http_206,https://rnttwmjcin.turknet.ercdn.net/lcpmvefbyo/aspor/aspor.m3u8,1,1080p,,A Spor,,
55,89,TJK TV,TJKTV.tr,id,added_iptv_org_healthy,iptv-org,TJKTV.tr,pass,master_ok->hls_segment_ok:http_206,https://tjktv-live.tjk.org/tjktv.m3u8,1,1080p,,TJK TV,,
56,90,Sports TV,SportsTV.tr,id,added_extra_fallback_unverified,extra_streams.json,Official-domain HLS fallback; may be geo-restricted depending on location.,unverified_fail_open,"network_[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'live.sportstv.com.tr'. (_ssl.c:1010)",https://live.sportstv.com.tr/hls/low/sportstv.m3u8,1,,,Sports TV,,
57,104,TRT Müzik,TRTMuzik.tr,id,added_iptv_org_healthy,iptv-org,TRTMuzik.tr,pass,master_ok->hls_segment_ok:http_206,https://tv-trtmuzik.medya.trt.com.tr/master.m3u8,2,720p,,TRT Müzik,,
58,133,TRT Arabi,TRTArabi.tr,id,added_iptv_org_healthy,iptv-org,TRTArabi.tr,pass,master_ok->hls_segment_ok:http_206,https://tv-trtarabi.medya.trt.com.tr/master.m3u8,1,1080p,Not 24/7,TRT Arabi,,
59,134,CGTN,CGTN.cn,id,added_iptv_org_healthy,iptv-org,CGTN.cn,pass,master_ok->hls_segment_ok:http_206,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8,3,1080p,,CGTN,,
60,138,Euronews,EuronewsEnglish.fr,id,added_iptv_org_healthy,iptv-org,EuronewsEnglish.fr,pass,master_ok->hls_segment_ok:http_206,https://jmp2.uk/plu-61de96114757070008d33cae.m3u8,3,720p,,Euronews English,,
61,139,Bloomberg Television,BloombergTV.us,id,added_iptv_org_healthy,iptv-org,BloombergTV.us,pass,master_ok->hls_segment_ok:http_206,https://d8975dc3.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/U2Ftc3VuZy1nYl9CbG9vbWJlcmdUVlBsdXNfSExT/playlist.m3u8,3,2160p,,Bloomberg TV+,,
62,140,A News,ANews.tr,id,added_extra_fallback_unverified,extra_streams.json,Public HLS candidate on Turkuvaz/ercdn infrastructure. Health checked before inclusion.,unverified_fail_open,network_[Errno -2] Name or service not known,https://trkvz-m.ercdn.net/anewshd/anewshd.m3u8,1,,,A News,,https://www.anews.com.tr/webtv/live-broadcast
63,142,TRT World,TRTWorld.tr,id,added_iptv_org_healthy,iptv-org,TRTWorld.tr,pass,master_ok->hls_segment_ok:http_206,https://tv-trtworld.medya.trt.com.tr/master.m3u8,2,1080p,Not 24/7,TRT World,,
64,144,Al Jazeera English,AlJazeera.qa,id,added_iptv_org_healthy,iptv-org,AlJazeera.qa,pass,master_ok->hls_segment_ok:http_206,https://live-hls-apps-aje-fa.getaj.net/AJE/index.m3u8,3,1080p,,Al Jazeera English,,
65,147,Al Quran Al Kareem TV,AlQuranAlKareemTV.sa,name,added_iptv_org_healthy,iptv-org,AlQuranAlKareemTV.sa,pass,master_ok->hls_segment_ok:http_206,https://cdn-globecast.akamaized.net/live/eds/saudi_quran/hls_roku/index.m3u8,3,360p,Not 24/7,Al Quran Al Kareem TV,,
66,148,Al Sunnah Al Nabawiyah TV,AlSunnahAlNabawiyahTV.sa,id,added_iptv_org_healthy,iptv-org,AlSunnahAlNabawiyahTV.sa,pass,master_ok->hls_segment_ok:http_206,https://cdn-globecast.akamaized.net/live/eds/saudi_sunnah/hls_roku/index.m3u8,3,360p,,Al Sunnah Al Nabawiyah TV,,
67,149,NHK World Japan,NHKWorldJapan.jp,id,added_iptv_org_healthy,iptv-org,NHKWorldJapan.jp,pass,master_ok->hls_segment_ok:http_206,https://masterpl.hls.nhkworld.jp/hls/w/live/smarttv.m3u8,3,1080p,,NHK World-Japan,,
68,152,TRT EBA,TRTEBA.tr,id,added_iptv_org_healthy,iptv-org,TRTEBA.tr,pass,master_ok->hls_segment_ok:http_206,https://tv-e-okul01.medya.trt.com.tr/master.m3u8,1,720p,,TRT EBA Ortaokul,,
69,160,TRT Çocuk,TRTCocuk.tr,id,added_iptv_org_healthy,iptv-org,TRTCocuk.tr,pass,master_ok->hls_segment_ok:http_206,https://tv-trtcocuk.medya.trt.com.tr/master.m3u8,1,1440p,,TRT Cocuk,,
70,166,Stoon TV / Spacetoon Türkiye,SpacetoonTurkey.tr,id,no_public_stream_no_fallback,,,not_tested_no_candidate,resolver:https://spacetoon.com.tr/tr/tv-programs:page:yt_dlp_failed:ERROR: Unsupported URL: https://spacetoon.com.tr/tr/tv-programs,,0,,,,,https://spacetoon.com.tr/tr/tv-programs
71,170,Minika GO,MinikaGo.tr,name,added_iptv_org_healthy,iptv-org,MinikaGo.tr,pass,master_ok->hls_segment_ok:http_206,https://rnttwmjcin.turknet.ercdn.net/lcpmvefbyo/minikago/minikago.m3u8,2,720p,,Minika Go,,
72,174,Minika Çocuk,MinikaCocuk.tr,id,added_iptv_org_healthy,iptv-org,MinikaCocuk.tr,pass,master_ok->hls_segment_ok:http_206,https://rnttwmjcin.turknet.ercdn.net/lcpmvefbyo/minikago_cocuk/minikago_cocuk.m3u8,2,720p,,Minika Cocuk,,
73,189,Yaban TV,YabanTV.tr,id,added_extra_fallback_unverified,extra_streams.json,Public HLS candidate from longstanding free-TV listings. Health checked before inclusion; official-page resolver remains enabled.,unverified_fail_open,"network_[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '59cba4d34b678.streamlock.net'. (_ssl.c:1010)",https://59cba4d34b678.streamlock.net/live1/yabantv/playlist.m3u8,1,,,Yaban TV,,https://www.yabantv.com/broadcast
74,190,TRT Belgesel,TRTBelgesel.tr,id,added_iptv_org_unverified,iptv-org,TRTBelgesel.tr,unverified_fail_open,http_403,https://tv-trtbelgesel.medya.trt.com.tr/master.m3u8,1,720p,,TRT Belgesel,,
75,193,TGRT Belgesel,TGRTBelgesel.tr,id,added_extra_fallback_unverified,extra_streams.json,Health-checked TGRT Belgesel candidates; first candidate uses Ihlas Digital Assets infrastructure. Official live page remains available separately.,unverified_fail_open,network_[Errno -2] Name or service not known,https://canli.ihlasdigitalassets.com/tgrtbelgesel.m3u8,4,,,TGRT Belgesel,,
76,194,CGTN Documentary,CGTNDocumentary.cn,id,added_iptv_org_healthy,iptv-org,CGTNDocumentary.cn,pass,master_ok->hls_segment_ok:http_206,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8,3,1080p,,CGTN Documentary,,
77,618,Güneydoğu TV,GuneydoguTV.tr,id,added_iptv_org_healthy,iptv-org,GuneydoguTV.tr,pass,master_ok->hls_segment_ok:http_206,https://edge1.socialsmart.tv/gtv/bant1/playlist.m3u8,1,720p,,Guneydogu TV,,
